Wall time;Step;Value
16.153.409.228.640.200;23716;0.210405737
16.153.410.767.933.400;23730;0.209257305
16.153.415.021.741.300;23763;0.152412027
16.153.428.709.159.400;23876;0.147475839
16.153.434.011.182.200;23925;0.165345207
16.153.444.191.374.800;24006;0.174309194
16.153.445.460.112.600;24017;0.141448468
16.153.447.866.041.600;24037;0.112533189
16.153.455.217.017.500;24097;0.150793865
16.153.456.711.964.500;24110;0.083726674
1.615.346.143.480.610;24147;0.146069244
16.153.463.893.174.100;24167;0.110161379
16.153.477.232.923.200;24274;0.145494074
16.153.493.846.550.300;24415;0.175481573
16.153.498.545.222.900;24454;0.186294168
16.153.501.970.009.100;24483;0.131799623
16.153.506.450.994.700;24522;0.194767371
16.153.512.211.100.100;24570;0.142406225
16.153.517.981.937.500;24618;0.124779522
1.615.351.821.028.390;24620;0.121198907
16.153.519.247.261.400;24628;0.173728123
1.615.352.279.402.460;24658;0.170576453
16.153.525.387.826.800;24681;0.190426096
1.615.353.409.839.690;24752;0.161449477
16.153.551.189.589.100;24893;0.190900803
16.153.559.068.458.300;24957;0.197892636
16.153.564.427.901.200;25003;0.135802612
16.153.567.943.770.300;25033;0.060305133
1.615.357.056.595.150;25055;0.162702337
16.153.571.455.593.000;25063;0.163830161
16.153.586.460.199.200;25185;0.155407518
16.153.590.254.800.100;25215;0.177591562
1.615.359.274.623.590;25237;0.150515646
1.615.359.682.778.580;25270;0.146806702
16.153.606.198.943.900;25344;0.085287675
16.153.611.001.380.500;25383;0.14684242
1.615.362.176.023.420;25469;0.169671804
16.153.630.966.126.400;25542;0.181985244
16.153.633.882.876.700;25567;0.151847109
16.153.635.420.832.200;25580;0.156876832
16.153.636.457.460.100;25589;0.174700871
16.153.645.900.190.900;25668;0.141527757
16.153.652.807.173.400;25727;0.165662423
16.153.667.009.969.600;25841;0.158880979
16.153.668.927.708.500;25856;0.166658357
16.153.679.072.477.300;25935;0.164292067
16.153.689.533.131.000;26022;0.173881009
16.153.700.999.932.000;26111;0.157841295
16.153.705.804.167.500;26148;0.163024172
16.153.709.988.190.600;26183;0.175825506
16.153.714.148.692.100;26216;0.161410213
16.153.719.382.719.700;26257;0.21017231
16.153.733.151.357.000;26365;0.136648834
16.153.735.103.561.700;26381;0.184741974
16.153.737.592.696.800;26402;0.176407307
16.153.738.533.078.300;26411;0.184117079
16.153.740.372.072.800;26427;0.091695167
16.153.748.006.217.900;26490;0.160716712
1.615.374.810.410.590;26491;0.120296724
16.153.749.794.177.900;26505;0.153212249
