Wall time;Step;Value;;;
16.153.013.803.859.300;20475;3.0;;;
16.153.022.821.904.800;20553;3.0;;;
16.153.026.418.216.900;20583;3.0;;;
16.153.056.052.928;20821;3.0;;;
16.153.067.530.884.600;20914;3.0;;;
16.153.080.428.773.100;21025;3.0;;;
16.153.082.836.121.700;21046;3.0;;;
16.153.108.172.608;21249;3.0;;;
16.153.122.419.818.500;21363;3.0;;;
16.153.148.035.191.700;21568;3.0;;;
1.615.315.828.404.800;21652;3.0;;;
1.615.321.818.726.140;22125;3.0;;;
16.153.224.461.178.300;22178;3.0;;;
1.615.327.457.105.800;22594;3.0;;;
16.153.277.693.190.900;22621;3.0;;;
1.615.328.053.495.380;22644;3.0;;;
16.153.281.464.963.600;22652;3.0;;;
16.153.286.396.168.000;22694;3.0;;;
16.153.334.283.560.500;23094;3.0;;;
1.615.334.468.586.850;23176;3.0;;;
16.153.355.850.975.300;23266;3.0;;;
16.153.373.678.978.100;23416;3.0;;;
16.153.374.153.284.500;23420;3.0;;;
16.153.386.628.605.900;23528;3.0;;;
16.153.407.118.232.700;23697;3.0;;;
16.153.415.021.741.300;23763;3.0;;;
16.153.428.709.159.400;23876;3.0;;;
16.153.434.011.182.200;23925;3.0;;;
16.153.444.191.374.800;24006;3.0;;;
16.153.455.217.017.500;24097;3.0;;;
1.615.346.143.480.610;24147;3.0;;;
16.153.493.846.550.300;24415;3.0;;;
16.153.517.981.937.500;24618;3.0;;;
1.615.353.409.839.690;24752;3.0;;;
1.615.359.682.778.580;25270;3.0;;;
16.153.611.001.380.500;25383;3.0;;;
16.153.633.882.876.700;25567;3.0;;;
16.153.635.420.832.200;25580;3.0;;;
16.153.636.457.460.100;25589;3.0;;;
16.153.667.009.969.600;25841;3.0;;;
16.153.679.072.477.300;25935;3.0;;;
16.153.709.988.190.600;26183;3.0;;;
16.153.733.151.357.000;26365;3.0;;;
16.153.737.592.696.800;26402;3.0;;;
16.153.748.006.217.900;26490;3.0;;;
16.153.749.794.177.900;26505;3.0;;;
16.153.779.208.478.600;26739;3.0;;;
16.153.829.748.075.100;27133;3.0;;;
1.615.386.461.591.030;27414;3.0;;;
16.153.872.810.616.700;27478;3.0;;;
16.153.928.588.129.600;27905;3.0;;;
16.153.933.020.058.600;27939;3.0;;;
1.615.393.524.952.620;27956;3.0;;;
16.153.973.979.491.400;28254;3.0;;;
1.615.401.992.241.440;28613;3.0;;;
1.615.402.529.449.990;28657;3.0;;;
16.154.054.454.210.200;28879;3.0;;;
16.154.058.006.067.900;28908;3.0;;;
16.154.106.808.355.000;29306;3.0;;;
16.154.115.038.817.800;29373;3.0;;;
16.154.121.819.936.300;29426;3.0;;;
16.154.126.967.474.600;29469;3.0;;;
16.154.135.085.995.900;29537;3.0;;;
1.615.416.914.146.700;29807;3.0;;;
16.154.171.240.108.800;29823;3.0;;;
16.154.177.731.712.800;29876;3.0;;;
16.154.212.434.980.200;30164;3.0;;;
16.154.242.338.670.900;30413;3.0;;;
161.542.728.041.406;30663;3.0;;;
16.154.285.555.682.600;30770;3.0;;;
16.154.380.581.207.400;31560;3.0;;;
16.154.429.769.066.300;31961;3.0;;;
1.615.445.143.361.180;32144;3.0;;;
16.154.496.465.071.100;32498;3.0;;;
16.154.516.316.617.300;32650;3.0;;;
16.154.525.536.160.600;32724;3.0;;;
16.154.536.557.129.700;32807;3.0;;;
16.154.545.835.002.400;32881;3.0;;;
16.154.589.987.995.100;33230;3.0;;;
16.154.590.899.444.800;33237;3.0;;;
16.154.604.808.049.500;33350;3.0;;;
16.154.635.957.502.100;33584;3.0;;;
16.154.647.145.975.200;33677;3.0;;;
16.154.648.679.173.800;33687;3.0;;;
161.546.506.364.264;33704;3.0;;;
