Wall time;Step;Value
1.615.680.136.867.510;17316;23
16.156.801.422.809.600;17317;21
16.156.801.436.439.900;17318;22
1.615.680.166.092.290;17321;30
1.615.680.252.525.910;17340;17
16.156.804.300.011.000;17375;15
1.615.680.572.471.870;17406;28
16.156.806.716.066.700;17427;43
16.156.807.582.001.400;17445;19
16.156.808.128.926.000;17455;21
16.156.812.212.486.600;17544;23
16.156.812.941.181.500;17558;49
1.615.681.391.312.990;17578;43
16.156.814.303.096.600;17587;11
16.156.814.666.009.600;17594;26
1.615.681.466.788.460;17595;22
16.156.816.017.218.800;17624;34
16.156.816.533.074.200;17634;19
16.156.817.413.876.300;17654;24
16.156.820.846.163.200;17723;25
1.615.682.315.111.250;17772;23
16.156.823.160.270.300;17773;28
1.615.682.475.425.710;17805;19
16.156.826.553.165.300;17843;29
16.156.831.966.257.400;17954;22
16.156.833.045.469.100;17979;16
16.156.833.223.237.200;17982;22
16.156.833.691.234.600;17991;26
16.156.835.071.604.400;18019;20
1.615.683.691.970.450;18054;22
16.156.837.541.112.100;18066;42
16.156.839.405.077.900;18105;22
16.156.840.686.078.700;18130;16
1.615.684.149.326.570;18147;23
16.156.844.827.502.500;18215;20
16.156.845.774.235.700;18237;27
16.156.847.209.740.000;18265;51
16.156.849.919.130.600;18319;13
16.156.851.957.329.100;18363;21
16.156.856.485.856.700;18452;32
16.156.856.490.404.600;18453;17
1.615.686.111.674.160;18548;28
16.156.863.275.032.300;18593;23
1.615.686.901.252.440;18714;23
16.156.869.327.382.300;18721;21
16.156.875.603.890.100;18846;36
16.156.878.043.633.800;18893;21
16.156.880.047.342.200;18934;33
16.156.881.370.851.700;18959;28
16.156.882.351.124.200;18978;52
16.156.882.471.867.600;18983;23
16.156.883.742.897.700;19006;18
1.615.688.475.486.060;19028;27
1.615.688.580.372.540;19049;18
16.156.889.049.908.500;19117;23
16.156.891.932.354.100;19170;33
16.156.895.090.344.500;19228;25
16.156.897.412.422.700;19272;45
1.615.689.755.289.400;19276;26
16.156.898.907.854.000;19301;31
16.156.908.464.659.100;19486;30
16.156.909.202.605.700;19501;25
16.156.909.250.542.500;19504;12
1.615.691.047.064.390;19526;31
16.156.910.734.483.500;19532;20
16.156.913.164.752.900;19580;36
16.156.913.865.717.000;19595;37
1.615.691.583.369.330;19635;8
1.615.691.613.548.520;19641;20
1.615.691.686.568.590;19655;22
16.156.917.340.741.700;19666;31
1.615.691.786.991.660;19675;24
16.156.920.082.909.900;19721;28
16.156.920.564.565.600;19732;22
16.156.920.874.137.700;19738;27
1.615.692.370.081.800;19797;11
16.156.924.904.720.200;19824;34
1.615.692.609.349.440;19847;38
16.156.930.081.382.200;19917;52
1.615.693.119.353.590;19939;30
16.156.932.876.371.100;19972;20
16.156.933.792.934.200;19989;28
16.156.934.223.257.600;19996;31
16.156.936.320.485.200;20036;50
16.156.937.013.700.700;20049;17
16.156.937.286.276.100;20054;21
